Vicon Pose Position (t_x);t_y;t_z;Vicon Pose Quat (q_w);q_x;q_y;q_z;EKF Pose Position (t_x);t_y;t_z;EKF Pose Quat (q_w);q_x;q_y;q_z;
2.60689;3.73378;1.88952;0.796955;-0.0267191;-0.113728;0.592633;1.42493;3.40139;1.84245;-0.416377;-0.0204604;0.067879;-0.906424;
2.60892;3.90827;1.86235;0.778588;0.0129368;-0.141246;0.611296;1.42493;3.40139;1.84245;-0.416377;-0.0204604;0.067879;-0.906424;
2.60863;3.91612;1.86164;0.778016;0.0133768;-0.141559;0.611942;1.41525;3.42258;1.84864;-0.392488;-0.0398451;0.0705434;-0.916182;
2.59939;4.09479;1.87715;0.773418;0.00563741;-0.12419;0.621587;1.41525;3.42258;1.84864;-0.392488;-0.0398451;0.0705434;-0.916182;
2.59993;4.10405;1.87729;0.767548;0.0176185;-0.1277;0.627895;1.43743;3.46313;1.87304;-0.366804;-0.0659018;0.0751947;-0.924909;
2.6044;4.28845;1.89019;0.747862;0.0357192;-0.143679;0.647135;1.43743;3.46313;1.87304;-0.366804;-0.0659018;0.0751947;-0.924909;
2.6051;4.2968;1.88974;0.747746;0.0360868;-0.143315;0.647329;1.46137;3.54779;1.85076;-0.346177;-0.0690262;0.0708314;-0.932941;
2.62953;4.49422;1.86646;0.748752;0.0263621;-0.128797;0.649682;1.46137;3.54779;1.85076;-0.346177;-0.0690262;0.0708314;-0.932941;
2.63093;4.50133;1.86813;0.747529;0.000909472;-0.10615;0.655692;1.47159;3.66445;1.85304;-0.338996;-0.0672598;0.0668034;-0.935999;
2.66164;4.71339;1.87729;0.736635;0.0371768;-0.129182;0.662796;1.47159;3.66445;1.85304;-0.338996;-0.0672598;0.0668034;-0.935999;
2.66261;4.72252;1.87895;0.73628;0.0381518;-0.135259;0.661922;1.48437;3.77419;1.87703;-0.325335;-0.0719107;0.0586893;-0.941032;
2.67398;4.92498;1.90091;0.729161;0.0335557;-0.124898;0.672011;1.48437;3.77419;1.87703;-0.325335;-0.0719107;0.0586893;-0.941032;
2.67448;4.93319;1.9007;0.72824;0.034089;-0.123195;0.673296;1.48502;3.89325;1.85279;-0.316958;-0.058991;0.0534814;-0.945091;
1.88335;-4.21122;0.428645;0.512621;0.661833;-0.279049;-0.470455;1.48502;3.89325;1.85279;-0.316958;-0.058991;0.0534814;-0.945091;
2.66118;5.36282;1.87286;0.746084;0.0238678;-0.118211;0.654839;1.46381;4.01809;1.83832;-0.320772;-0.0546702;0.0531189;-0.944084;
2.68177;5.51386;1.89673;-0.346623;-0.0145014;-0.0551481;0.93627;1.46162;4.15489;1.86655;-0.336246;-0.0635474;0.0613049;-0.937626;
2.6603;5.57525;1.89859;0.752418;0.014608;-0.118054;0.647856;1.46162;4.15489;1.86655;-0.336246;-0.0635474;0.0613049;-0.937626;
1.88334;-4.21108;0.428656;0.512974;0.661622;-0.279228;-0.470261;1.43601;3.93462;1.85312;-0.337981;-0.0493414;0.0553757;-0.938226;
1.88325;-4.21108;0.428788;0.512826;0.661834;-0.279707;-0.46984;1.43601;3.93462;1.85312;-0.337981;-0.0493414;0.0553757;-0.938226;
1.88336;-4.21105;0.42861;0.513437;0.66103;-0.278958;-0.470748;1.40598;3.71204;1.84318;-0.328273;-0.05526;0.0528168;-0.941485;
1.88301;-4.21074;0.428278;0.516073;0.655977;-0.279298;-0.474717;1.40598;3.71204;1.84318;-0.328273;-0.05526;0.0528168;-0.941485;
1.88306;-4.21082;0.428375;0.515329;0.657151;-0.27955;-0.47375;1.40598;3.71204;1.84318;-0.328273;-0.05526;0.0528168;-0.941485;
1.88308;-4.21083;0.428283;0.515534;0.656752;-0.279048;-0.474377;1.38475;3.69268;1.8728;-0.297189;-0.0707935;0.0589225;-0.950366;
1.88311;-4.21083;0.428243;0.515465;0.656817;-0.279061;-0.474354;1.33345;3.39144;1.86022;-0.256704;-0.0622396;0.055337;-0.962895;
1.88334;-4.21115;0.428722;0.512637;0.662065;-0.279321;-0.469951;1.33345;3.39144;1.86022;-0.256704;-0.0622396;0.055337;-0.962895;
1.88306;-4.21082;0.428258;0.515638;0.656558;-0.279154;-0.474471;1.24261;2.71055;1.83391;-0.208825;-0.0646917;0.0460462;-0.974724;
1.88327;-4.21106;0.428705;0.512975;0.661716;-0.279303;-0.470083;1.24261;2.71055;1.83391;-0.208825;-0.0646917;0.0460462;-0.974724;
1.88331;-4.2112;0.428728;0.512336;0.662357;-0.27933;-0.469862;1.148;1.84107;1.84786;-0.139389;-0.0754028;0.0559562;-0.985776;
1.88307;-4.2108;0.42833;0.515624;0.656845;-0.279203;-0.474059;1.148;1.84107;1.84786;-0.139389;-0.0754028;0.0559562;-0.985776;
1.8833;-4.21108;0.42868;0.512566;0.662145;-0.279292;-0.469932;1.06587;0.892107;1.83663;-0.0505167;-0.0655342;0.0475322;-0.995437;
1.88337;-4.21114;0.42872;0.512693;0.662238;-0.279055;-0.469803;1.06587;0.892107;1.83663;-0.0505167;-0.0655342;0.0475322;-0.995437;
1.88311;-4.21077;0.428266;0.516009;0.656369;-0.278998;-0.47442;0.993852;-0.0741464;1.80496;0.0509777;-0.0648388;0.0399207;-0.995793;
1.88336;-4.21114;0.428694;0.512486;0.662409;-0.278984;-0.46983;0.993852;-0.0741464;1.80496;0.0509777;-0.0648388;0.0399207;-0.995793;
1.88334;-4.21122;0.42875;0.512024;0.662878;-0.27926;-0.469508;0.933196;-2.03063;1.78101;0.26008;-0.0586139;0.0309776;-0.963308;
1.88336;-4.21117;0.428657;0.512668;0.661983;-0.278925;-0.470267;0.933196;-2.03063;1.78101;0.26008;-0.0586139;0.0309776;-0.963308;
1.88308;-4.2109;0.428242;0.515619;0.656471;-0.278964;-0.474723;0.949539;-2.94875;1.73605;0.323348;-0.0438915;0.027938;-0.944849;
1.88328;-4.21109;0.428675;0.512625;0.661921;-0.279424;-0.470106;0.949539;-2.94875;1.73605;0.323348;-0.0438915;0.027938;-0.944849;
1.88306;-4.2108;0.428308;0.51574;0.656516;-0.279324;-0.474317;0.693605;-4.04583;1.28469;0.356274;-0.0604245;0.0241536;-0.932113;
1.88307;-4.21082;0.428309;0.515973;0.65615;-0.2792;-0.474643;0.693605;-4.04583;1.28469;0.356274;-0.0604245;0.0241536;-0.932113;
1.88348;-4.21159;0.429127;0.510983;0.664662;-0.279652;-0.467884;0.399967;-5.14981;0.659791;0.376583;-0.069868;0.0204124;-0.923519;
1.88308;-4.2108;0.42834;0.515674;0.656819;-0.279233;-0.474024;0.399967;-5.14981;0.659791;0.376583;-0.069868;0.0204124;-0.923519;
1.88323;-4.21117;0.428725;0.512208;0.662417;-0.27953;-0.469798;0.291325;-6.04119;0.221958;0.40096;-0.070249;0.0107422;-0.913335;
1.88327;-4.21112;0.428723;0.512656;0.661901;-0.279521;-0.470042;0.351972;-6.6991;-0.000442476;0.434664;-0.0862719;-5.06506e-05;-0.896451;
