time (NSec);Turtlebot Base Quaternion (q_w);q_x;q_y;q_z;Turtlebot Base Position (t_x);t_y;t_z;
1560686425741753637;0.00247994;0.0144047;0.00763449;0.999864;0.0125213;3.10251;0.0977254;
1560686425758432762;0.00247773;0.0143117;0.00761438;0.999866;0.0125098;3.10251;0.0977319;
1560686425766758273;0.00250531;0.0142329;0.00756029;0.999867;0.0125159;3.10252;0.0977257;
1560686425775150272;0.00248524;0.0144149;0.00764387;0.999864;0.0125215;3.1025;0.0977338;
1560686425783461948;0.00248939;0.0143928;0.00759063;0.999865;0.0125213;3.10251;0.097723;
1560686425791777018;0.00250118;0.014488;0.00766071;0.999863;0.0125206;3.10251;0.0977272;
1560686425800000001;0.00249204;0.0144128;0.0076154;0.999864;0.0125193;3.1025;0.0977203;
1560686425816752311;0.00249798;0.0143586;0.00759702;0.999865;0.0125157;3.10251;0.0977248;
1560686425825100234;0.00249198;0.0144464;0.00763493;0.999863;0.0125225;3.1025;0.0977186;
1560686425833338015;0.00248416;0.0143914;0.00759316;0.999865;0.0125196;3.10251;0.0977248;
1560686425841715107;0.00250143;0.0145326;0.0076673;0.999862;0.0125203;3.10251;0.0977344;
1560686425858426459;0.0025022;0.0143932;0.00762823;0.999864;0.0125264;3.10251;0.0977212;
1560686425866758108;0.00249589;0.0143823;0.007617;0.999864;0.0125264;3.1025;0.0977132;
1560686425875093438;0.00249359;0.0143756;0.00758896;0.999865;0.012524;3.10251;0.0977262;
1560686425883442133;0.00252765;0.0144585;0.00765768;0.999863;0.0125166;3.1025;0.0977251;
1560686425891758670;0.00252468;0.0144181;0.00760528;0.999864;0.0125276;3.10252;0.0977254;
1560686425908407391;0.00248887;0.0143845;0.00760081;0.999865;0.0125257;3.10251;0.0977245;
1560686425916738597;0.0024915;0.0143697;0.00760485;0.999865;0.0125178;3.10251;0.097718;
1560686425925097794;0.00250011;0.014354;0.00761345;0.999865;0.0125231;3.10251;0.0977187;
1560686425933389100;0.00250218;0.0143561;0.00759899;0.999865;0.0125316;3.10251;0.0977258;
1560686425950093910;0.0024983;0.0144246;0.00760089;0.999864;0.0125284;3.10251;0.0977275;
1560686425958415032;0.00249304;0.0142988;0.00757497;0.999866;0.0125219;3.1025;0.0977221;
1560686425966743202;0.00251018;0.0144487;0.00764277;0.999863;0.0125294;3.1025;0.0977216;
1560686425975090665;0.00251258;0.0143513;0.00762962;0.999865;0.012516;3.10251;0.097724;
1560686425983416848;0.00249346;0.0144829;0.00767704;0.999863;0.0125227;3.1025;0.0977224;
1560686426000102638;0.00250281;0.0143321;0.00757679;0.999865;0.0125201;3.10251;0.0977191;
1560686426008419167;0.00249008;0.0143331;0.00763453;0.999865;0.012521;3.10251;0.0977225;
1560686426016750741;0.00248031;0.0142909;0.00758245;0.999866;0.0125243;3.10251;0.0977208;
1560686426025078851;0.00248801;0.0144141;0.00763807;0.999864;0.0125235;3.1025;0.0977216;
1560686426033389490;0.00249678;0.0142538;0.00756937;0.999867;0.0125192;3.10251;0.0977205;
1560686426050073735;0.00248584;0.0144521;0.00761239;0.999863;0.012527;3.1025;0.0977254;
